instrument,level_id,timing_bin,n
ES,upper_N20_ema_k0,BAR_0930,524
ES,upper_N20_ema_k0,MINUTES_16_TO_30,56
ES,upper_N20_ema_k0,MINUTES_2_TO_5,312
ES,upper_N20_ema_k0,MINUTES_31_TO_60,49
ES,upper_N20_ema_k0,MINUTES_61_TO_120,35
ES,upper_N20_ema_k0,MINUTES_6_TO_15,143
ES,upper_N20_ema_k1,BAR_0930,211
ES,upper_N20_ema_k1,MINUTES_16_TO_30,99
ES,upper_N20_ema_k1,MINUTES_2_TO_5,378
ES,upper_N20_ema_k1,MINUTES_31_TO_60,81
ES,upper_N20_ema_k1,MINUTES_61_TO_120,71
ES,upper_N20_ema_k1,MINUTES_6_TO_15,179
ES,upper_N20_ema_k2,BAR_0930,86
ES,upper_N20_ema_k2,MINUTES_16_TO_30,130
ES,upper_N20_ema_k2,MINUTES_2_TO_5,314
ES,upper_N20_ema_k2,MINUTES_31_TO_60,101
ES,upper_N20_ema_k2,MINUTES_61_TO_120,82
ES,upper_N20_ema_k2,MINUTES_6_TO_15,208
ES,upper_N20_ema_k3,BAR_0930,37
ES,upper_N20_ema_k3,MINUTES_16_TO_30,126
ES,upper_N20_ema_k3,MINUTES_2_TO_5,229
ES,upper_N20_ema_k3,MINUTES_31_TO_60,118
ES,upper_N20_ema_k3,MINUTES_61_TO_120,98
ES,upper_N20_ema_k3,MINUTES_6_TO_15,232
ES,upper_N20_mean_k0,BAR_0930,531
ES,upper_N20_mean_k0,MINUTES_16_TO_30,57
ES,upper_N20_mean_k0,MINUTES_2_TO_5,314
ES,upper_N20_mean_k0,MINUTES_31_TO_60,48
ES,upper_N20_mean_k0,MINUTES_61_TO_120,35
ES,upper_N20_mean_k0,MINUTES_6_TO_15,135
ES,upper_N20_mean_k1,BAR_0930,213
ES,upper_N20_mean_k1,MINUTES_16_TO_30,100
ES,upper_N20_mean_k1,MINUTES_2_TO_5,376
ES,upper_N20_mean_k1,MINUTES_31_TO_60,75
ES,upper_N20_mean_k1,MINUTES_61_TO_120,69
ES,upper_N20_mean_k1,MINUTES_6_TO_15,180
ES,upper_N20_mean_k2,BAR_0930,86
ES,upper_N20_mean_k2,MINUTES_16_TO_30,133
ES,upper_N20_mean_k2,MINUTES_2_TO_5,322
ES,upper_N20_mean_k2,MINUTES_31_TO_60,98
ES,upper_N20_mean_k2,MINUTES_61_TO_120,84
ES,upper_N20_mean_k2,MINUTES_6_TO_15,204
ES,upper_N20_mean_k3,BAR_0930,39
ES,upper_N20_mean_k3,MINUTES_16_TO_30,128
ES,upper_N20_mean_k3,MINUTES_2_TO_5,224
ES,upper_N20_mean_k3,MINUTES_31_TO_60,119
ES,upper_N20_mean_k3,MINUTES_61_TO_120,99
ES,upper_N20_mean_k3,MINUTES_6_TO_15,235
ES,upper_N20_median_k0,BAR_0930,665
ES,upper_N20_median_k0,MINUTES_16_TO_30,43
ES,upper_N20_median_k0,MINUTES_2_TO_5,264
ES,upper_N20_median_k0,MINUTES_31_TO_60,37
ES,upper_N20_median_k0,MINUTES_61_TO_120,35
ES,upper_N20_median_k0,MINUTES_6_TO_15,115
ES,upper_N20_median_k1,BAR_0930,268
ES,upper_N20_median_k1,MINUTES_16_TO_30,98
ES,upper_N20_median_k1,MINUTES_2_TO_5,376
ES,upper_N20_median_k1,MINUTES_31_TO_60,68
ES,upper_N20_median_k1,MINUTES_61_TO_120,59
ES,upper_N20_median_k1,MINUTES_6_TO_15,167
ES,upper_N20_median_k2,BAR_0930,99
ES,upper_N20_median_k2,MINUTES_16_TO_30,124
ES,upper_N20_median_k2,MINUTES_2_TO_5,351
